id,name,name_en,symbol,value,value_str,unit,uncertainty,temperature_K,material,burnup_range,category,subcategory,equation,notes,source_file,confidence
151846_f3c95453_param_001,肿胀参数,Kim swelling coefficient (low fd),$k_low$,5.0,5.0,% per 10^27 fissions/m³,,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation (Eq. 1),fd ≤ 3×10²⁷ fissions/m³,151846_f3c95453.md,high
151846_f3c95453_param_002,肿胀参数,Kim swelling transition fission density,$fd_trans$,3e+27,3e+27,fissions/m³,,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation,Kim correlation transition point,151846_f3c95453.md,high
151846_f3c95453_param_003,肿胀参数,Kim swelling constant term (high fd),$C0$,15.0,15,%,,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation (Eq. 2),fd > 3×10²⁷ fissions/m³,151846_f3c95453.md,high
151846_f3c95453_param_004,肿胀参数,Kim swelling linear coefficient (high fd),$C1$,6.3,6.3,% per 10^27 fissions/m³,,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation (Eq. 2),fd > 3×10²⁷ fissions/m³,151846_f3c95453.md,high
151846_f3c95453_param_005,肿胀参数,Kim swelling quadratic coefficient (high fd),$C2$,0.33,0.33,% per (10^27 fissions/m³)²,,,U-10Mo,,swelling_rate,swelling_correlation,Kim swelling correlation (Eq. 2),fd > 3×10²⁷ fissions/m³,151846_f3c95453.md,high
151846_f3c95453_param_006,肿胀参数,INL swelling quadratic coefficient,$a_INL$,3.83e-21,3.83e-21,%/(fissions/m³)²,,,U-10Mo,,swelling_rate,swelling_correlation,INL swelling correlation (Eq. 3),Excluding AFIP-6 MKII,151846_f3c95453.md,high
151846_f3c95453_param_007,肿胀参数,INL swelling linear coefficient,$b_INL$,4.54e-21,4.54e-21,%/(fissions/m³),,,U-10Mo,,swelling_rate,swelling_correlation,INL swelling correlation (Eq. 3),Excluding AFIP-6 MKII,151846_f3c95453.md,high
151846_f3c95453_param_008,肿胀参数,95% UCL swelling quadratic coefficient,$a_UCL$,6.39e-43,6.39e-43,%/(fissions/m³)²,,,U-10Mo,,swelling_rate,swelling_correlation,95% UCL swelling (Eq. 4),Including AFIP-6 MKII,151846_f3c95453.md,high
151846_f3c95453_param_009,肿胀参数,95% UCL swelling linear coefficient,$b_UCL$,3.86e-21,3.86e-21,%/(fissions/m³),,,U-10Mo,,swelling_rate,swelling_correlation,95% UCL swelling (Eq. 4),Including AFIP-6 MKII,151846_f3c95453.md,high
151846_f3c95453_param_010,肿胀参数,95% UCL swelling constant term,$c_UCL$,5.28,5.28,%,,,U-10Mo,,swelling_rate,swelling_correlation,95% UCL swelling (Eq. 4),Including AFIP-6 MKII,151846_f3c95453.md,high
